TextID;DocumentText
A crash with those circumstances happened in July 2019 in Indianapolis, killing a woman and her 18-month-old twin daughters. Prosecutors alleged that a semi driver was traveling 65 mph (105 kilometers per hour) when his rig hit a line of traffic in a construction zone. Authorities charged the driver with reckless homicide and said he didn’t start braking until the rig slammed into the first of several vehicles. Five other vehicles were hit and seven more people were injured."
2011;"When the coronavirus outbreak forced cruise lines to cancel trips to Alaska, it wiped out Midgi Moore’s tour business, leaving her with thousands of dollars in deposits to refund.

Moore’s company, Juneau Food Tours, didn’t have enough cash on hand. So, she withdrew $30,000 from her retirement account — a painful decision for a 56 year old starting to look forward to the day when she can stop working.

“It was a gut punch,” Moore says.

Many business owners are tapping the money they socked into personal savings and retirement accounts to withstand the pandemic. For some, like Moore, there are big expenses coming due while for others it’s a way to offset the losses and stay afloat until the virus eases its grip.

Owners are trying to keep their businesses alive at a critical time for the U.S. economy. Small businesses employ nearly half the nation’s work force. In April, payroll provider ADP reported nearly 20 million jobs were lost at U.S. companies and said more than half were at businesses employing under 500 people. Many economists expect a sizable portion of those job losses will be permanent.

IMPACT ON THE ECONOMY:
– Survey: US companies added just 428,000 jobs last month
– Asian stock markets follow Wall Street higher
– Businesses in NFL cities bracing for possibility of no fans
A report issued by the National Bureau of Economic Research found that 2% of small businesses surveyed had shut down permanently in March, a number that certainly has increased since, meaning it’s likely hundreds of thousands of businesses have failed. The government’s Paycheck Protection Program helped by giving out more than 5.2 million loans to small businesses and non-profits. But owners and advocates say struggling companies need more help from Congress, and lawmakers themselves are urging the Federal Reserve to expand its lending to small and medium-sized businesses.

___

EDITOR’S NOTE — Click here to see the latest small business coverage from The Associated Press, including the series “Small Business Struggles,” where AP journalists tell the stories of small businesses fighting for survival.

___

How many owners have raided savings to shore up their companies during the pandemic is also unclear; in surveys, the number has varied widely from 4% to about 20%. Even owners with companies outside the stricken restaurant, retailing and travel industries have needed extra funds as high unemployment and a weakened economy made consumers and companies cautious about spending.

Alissa Kelly is forgoing most of her salary and has taken nearly $15,000 out of savings to keep her Las Vegas-based publicity firm running. Kelly says she lost almost all her clients in the entertainment and restaurant industries within hours back in March.

Kelly, owner of PR Plus, was forced to lay off two of seven staffers and cut other expenses. A loan from the Paycheck Protection Program helped cover payroll for about two months. Kelly was able to get some new clients, but there was still a shortfall and she didn’t want to take on a bank loan.

Luckily, Kelly didn’t have to touch her retirement account; she and her husband had put money aside for a rainy day.

“Who would have known it would have been for this type of emergency,” she says.

Cracking open a nest egg is not a step owners take lightly; it’s a gamble that the business will recover and they’ll replenish their savings. For many it’s a better alternative than borrowing — they don’t want the burden of debt, especially during an uncertain economy. And as many owners have discovered during the virus outbreak, even a government relief loan might not fully make up for lost cash flow.

John Holloway saw sales at his life insurance website increase when news about the coronavirus broke during the winter, but business plunged when Americans retreated to their homes in March. A loan from the government “helped a bit but was quickly in and out,” says Holloway, co-founder of NoExam.com.

Holloway and his business partner each turned to personal savings to live on. Holloway estimates he’s taken between $25,000 and $30,000 out of retirement and emergency fund accounts to pay his family’s expenses.

Holloway says withdrawing the money made him feel like he was going backward. But business has been improving and that makes him optimistic.

“I’m banking on the long-term outlook for the business. It might in the future potentially be sold. That in my mind is where we’d be making up some of that money,” he says.

Up in Alaska, Moore has started two other businesses and plans to get a job this winter, hoping that will help her not only replace the savings she pumped into Juneau Food Tours but also create reserves for her companies.

Juneau Food Tours gets most of its revenue from cruise ship passengers who take tours of restaurants and bars in Alaska’s capital; more than 1.3 million people took Alaskan cruises during the 2019 cruise season, according to the industry group Alaska Travel Industry Association. Moore is aware she can’t count on revenue from cruise-goers for some time.

“I’m not planning for a big rebound in 2021. I’m looking at 2022,” she says.

Full Coverage: Economy
Business owners have varying strategies when it comes to savings. Those with retirement plans for their employees usually are savers, and those with children are likely to be putting money away for college tuition. But some owners see their companies as their investment. They plow profits back into their business rather than save; they expect to fund their retirement with the eventual sale of their companies.

Financial advisers recommend owners do some soul-searching before dipping into savings.

“It comes down to trying to be realistic with yourself. It’s looking at not only, are you going to be able to replenish what you’re going to take out, it’s also looking at the missed savings that you would have hopefully captured if we weren’t going through a global pandemic,” says Jennifer Myers, president of Sagevest Wealth Management in McLean, Virginia.

Tom Tunney’s three Ann Sather restaurants are breakfast, brunch and lunch stalwarts in their Chicago neighborhoods. Social distancing requirements have curtailed revenue and the government loan Tunney got was quickly spent paying staff.

Tunney, who’s also an alderman in the Chicago City Council, estimates he’s put $250,000 of his own money into running the restaurants. He dipped into proceeds of real estate sales to replace his lost revenue, and says he’s prepared to continue tapping savings until business returns to normal.

“My community and my business are everything, pretty much my family,” Tunney says.

When the pandemic slammed the tourism industry, attorney Tina Willis had fewer clients at her practice in Orlando, Florida. She specializes in personal injury cases, and many clients are tourists who have accidents while on vacation.

Willis has $5,000 in expenses each month and dipped into her retirement savings to help cover them, something she expects to have to keep doing in the coming months. While Orlando theme parks like Walt Disney World and Universal Studios are open, attendance is still a fraction of normal levels.

“We expect that the downturn will probably last at least until next spring in our business,” she says.

Willis is also working at cutting costs; she expects to close her office when her lease is up in November.

“I can’t keep spending $60,000 a year,” she says."
2012;"WASHINGTON (AP) — The U.S. government will provide its latest picture Thursday of the layoffs that have remained elevated at a weekly pace of around 1 million since the pandemic erupted nearly six months ago even as some sectors of the economy have been rebounding.

The number of people applying for unemployment benefits has stalled near a level that exceeds the number who did so in any week on record before the virus triggered a recession early this year.

While the auto and housing industries have made gains, companies across the spectrum — from small businesses to hotels, restaurants, airlines and entertainment venues — are struggling to survive despite government aid and are still cutting jobs.

The most recent layoffs follow the expiration of a $600 weekly federal check that supplied critical support for the unemployed. The Trump administration is providing a $300-a-week benefit to replace it, though some of the unemployed won’t qualify."
2013;"Jerry Jones won’t put a number on the attendance for the Dallas Cowboys’ home opener until the crowd is announced later this month at AT&T Stadium.

The owner of the Cowboys also hopes the 80,000-seat venue with standing room space that pushes capacity past 90,000 will be closer to full as the pandemic-altered NFL season goes on.

All of which is to say the league’s clubs are preparing for a rapidly changing environment while accepting the bottom-line notion that playing games with limited numbers of fans or none at all will affect revenues in 2020.

“You think about the lost revenue that these teams have across the board with no fans in the building,” said Bill Rhoda, president of global planning for Legends, a stadium operations company co-owned by the Cowboys and New York Yankees.

“And it goes from tickets to the concessions, to the merchandise to the game, to the lack of private suites being used, which then has an impact on sponsorships. So there is a trickle-down effect that this virus has had on the industry as a whole.”

Specifics are hard to get because clubs don’t disclose or discuss them. According to 2018 figures estimated by Forbes magazine, the Cowboys pulled about two-thirds of their $950 million in revenue from the stadium.

While America’s Team figures to take one of the biggest hits in stadium revenue, even with fans on hand while other teams don’t allow them, the Cowboys also are a symbol of the NFL at large — they should be fine in the long term.

“The NFL is a juggernaut,” said David Steinberg, co-founder of Zeta Global, a data-driven marketing technology company. “Other than maybe European (soccer), there’s no other league really globally like that. So I think that they are going to not just survive this. I think they will thrive in it.”

The Green Bay Packers offer the only glimpse at NFL finances as a publicly owned team. Even with no fans all season, CEO Mark Murphy says the Packers can cover player costs with national revenue highlighted by media rights, which is about two-thirds of the club’s overall revenue. Murphy also says the Packers have about $400 million in reserve.

Most of the the league’s 32 teams will start the season without fans. Both Los Angeles teams have announced plans to follow the model started by Korean baseball and adopted by Major League Baseball — fan cutouts in the seats when the new SoFi Stadium opens. Proceeds are going to charity.

The league is allowing teams to sell sponsorships on tarps covering seats in the lower bowl between the 30-yard lines, capped at 16 spots. The end zone tarps are reserved for sponsors of both the club and the league.

“Creative thinking is going to win here,” said Mark Reino, CEO of Merit Mile, a Boca Raton, Florida-based advertising, PR and sports marketing agency. “Maybe it’s a little cheeky, sometimes those cheeky ideas really win out in terms of maintaining loyalty.”

While there is debate over an on-field advantage for teams that will allow fans, Steinberg thinks it could be an advantage with sponsors as well. He considered it likely that clubs would give sponsors more access to tickets, noting that in-stadium sponsors that could be impacted by fewer eyeballs on signage were often local advertisers.

“People don’t realize how much of the local advertising is driven by bundling,” Steinberg said. “You can buy your ad package and then they throw in the skybox.”

Rhoda said many venues were already creating as many touchless interactions as possible before the pandemic, and one new one at AT&T Stadium is likely to be permanent: cashless transactions for concessions and merchandise. The security setup also could be permanently altered.

While the league appears well-positioned to get through a year without fans, the people who serve them will feel the effects more profoundly, said sports consultant Marc Ganis.

“Concessions and merchandising, ushers, janitorial, union and non-union workers — not high-income people but people who need this money,” said Ganis, co-founder of Chicago-based consulting group Sportscorp and a confidant of many NFL owners. “That’s who will be really damaged.”

Texas Gov. Greg Abbott is allowing sports venues to fill 50% of capacity, and the design of the Cowboys’ $1.2 billion stadium in Arlington, halfway between Dallas and Fort Worth, makes a number hard to determine. Jones will say this much; The club expects to have as many as 3,000 people working when Atlanta visits on Sept. 20. The Falcons are among the teams not allowing fans at least through September.

“We certainly will follow all of the guidelines and we’re so fortunate to have the room and have the openness and the airedness that we have out there, and it gives us a lot of flexibility,” Jones said. “We anticipate a great crowd.”

Whether those crowds will grow fits with questions such as what the league will do if there is a COVID-19 outbreak within a team, or if there is a larger outbreak around the country in the fall, as experts have warned. It’s hard to say.

“I think when you reflect back to the last couple of months, the thing that has been being consistent across the board is new things pop up all the time,” Rhoda said. “Where we thought we were going to be three weeks ago is different than where we’re at today.”"
2014;
2015;"James Harden couldn’t get his shot to fall all night, so the scorer turned stopper.

In this wild Game 7 that took one strange turn after another in the final seconds, the biggest play came when a guy known almost entirely for his offense turned up the defense.

Harden made up for a miserable shooting night with a big blocked shot, Russell Westbrook scored 20 points against his former team and the Houston Rockets edged the Oklahoma City Thunder 104-102 on Wednesday night to win the first-round series.

“It was one of those nights offensively so I just wanted to change the game defensively and I think I did that,” Harden said.

The Rockets pulled out a tense final game of the first round that lasted long past the final basket as replays and fouls were sorted out.

“I’ve been around a long time and just at the end it was a little crazy,” Houston coach Mike D’Antoni said.

In the end, Houston prevailed to set up a second-round matchup with the Los Angeles Lakers that begins Friday despite Harden, the NBA’s leading scorer, going 4 for 15 from the field.

“These are the games, you want to win a championship or win playoff games, you’ve got to do it with your heart,” D’Antoni added.

The frantic final seconds of a game that was tight throughout had Houston take the lead for good at 103-102 when P.J. Tucker scored with 1:25 remaining. After changes of possession, the Thunder got the ball to Lu Dort, who attempted a 3-pointer that Harden blocked with 4.8 seconds left.

Robert Covington made a free throw with 1.4 seconds to go and Harden was whistled for fouling Danilo Gallinari before the ball was inbounded, giving the Thunder one free throw and the ball. But Gallinari missed the free throw and the Thunder turned it over on the last inbounds pass.

Westbrook helped defend that, perhaps remembering some of his old coach’s plays.

“I kind of know a little bit,” Westbrook said.

Covington had 21 points and 10 rebounds, and Eric Gordon also scored 21 points for the Rockets. Harden finished with 17 points and nine assists.

Dort scored a career-best 30 points for the Thunder. Chris Paul, swapped for Westbrook over the summer, had 19 points, 12 assists and 11 rebounds.

“It’s a tough one. It’s tough,” Paul said. “We fought hard all year. Honestly, a lot of people doubted us, but we didn’t doubt ourselves. We didn’t give a damn about anybody’s predictions going into any series.”

It was a wild conclusion to a strange series in which the Rockets won Games 1 and 2 handily and Game 5 by 34, the biggest margin in franchise postseason history, but hadn’t come through in the close ones. Oklahoma City took Game 3 in overtime by outscoring Houston 15-3, the largest overtime point differential in NBA history, and pulled out Game 4 by three points and Game 6 by four.

The Rockets had no chance of winning this one in a rout thanks largely to Harden’s struggles. He missed 10 of his 12 shots through three quarters but they were ahead 85-80 behind a strong performance from Westbrook, who missed the first four games of the series with a strained right quadriceps.

Covington then hit a couple key 3-pointers in the fourth and Harden made two of his three shots in the period, including a basket that snapped a 99-all tie.

The Thunder closed the first quarter with a 10-2 spurt to take a 30-29 lead. Then it was Dort with a 12-point second quarter, hitting three 3-pointers to continue a remarkable turnaround from Game 5, when his 3-for-16 night included going 0 for 9 behind the arc. He bounced back with 13 points in Game 6.

“It was one of the most impressive things I’ve seen out of a player that young,” Thunder coach Billy Donovan said.

One of his 3s gave the Thunder a six-point lead, but Houston closed strong to lead 61-59 at the break.

Houston got the final five points of the third on a basket by Westbrook and a 3-pointer by Jeff Green, another former Oklahoma City player.

TIP-INS

Thunder: Dort, an undrafted rookie originally signed to a two-way contract who played 13 games this season in the NBA G League, scored the most points by a Thunder rookie in a playoff game. ... The Thunder were called for delay of game twice in the first half. The second, an automatic technical foul, came when Paul remained in the lane tying his shoe in an apparent attempt to give Donovan a chance to challenge a foul that had been called on the point guard.

Rockets: Houston is 7-5 in Game 7s, including 1-1 under D’Antoni. The Rockets had lost their two other Game 7s in the first round, against Utah in 2007 and Dallas in 2005. ... Green scored 13 points.

HERE AND NOW

Nobody knows yet when and where the NBA will return after this season and D’Antoni has other questions about the future, with the contract expiring after this one. But he said he wasn’t thinking about any of that leading into Game 7.

“Not really. I think the moment’s too big to get distracted,” he said. “We’ve been through a lot, I’ve been through a lot in all kinds of different ways, so I’m just looking forward to tonight."
2016;" Jimmy Butler loves soccer, and the final scene from Game 2 of the Eastern Conference semifinals resembled a penalty shot in a shootout.

Only there was no goalie.

This was just a free throw, no time on the clock, nobody else from the Miami Heat or Milwaukee Bucks standing along the lane. Game tied, two chances to make one shot, the outcome completely in Butler’s hands.

“I wish I could kick it in there and say that’s how I won it,” Butler said.

Rattling home a free throw will have to suffice. Butler got the first one to bounce home, made a second one that was irrelevant, and the Heat grabbed control of their East semifinal matchup with a 116-114 win over the Bucks on Wednesday night -- becoming the first No. 5 seed to take a 2-0 series lead over a No. 1 seed.

Butler was fouled by Giannis Antetokounmpo with no time remaining, the referees said, a call that was affirmed in a review after the initial whistle. The ball was out of Butler’s hands when Antetokounmpo clearly made contact.

“I’d say we’re disappointed with the judgment, the decision, the timing,” Bucks coach Mike Budenholzer said.

Crew Chief Marc Davis said the foul call was correct.

“He must be allowed the space to land and Giannis contacts him with his left hand on his torso and I felt like it affected his balance and did not allow him the space to land in a normal basketball position,” Davis told a pool reporter postgame. “As a result I judged this to be a shooting foul.”

It was a bizarre ending to, well, a bizarre ending.

The Heat were up by six with 27 seconds left and frittered that away, Butler giving Milwaukee two points with a most ill-advised pass — “a terrible IQ play,” he acknowledged — back toward the Bucks’ basket that turned into a layup by Brook Lopez.

That got Milwaukee within two, and Butler made one free throw with 7.7 seconds left to get the lead back to three. Khris Middleton was fouled by Goran Dragic — a call Miami argued to no avail, because the Heat unsuccessfully used their challenge on a foul of Lopez shooting a 3 in the first quarter — with 4.3 seconds left, and the All-Star made all three free throws to tie it. Davis, in the postgame pool report, said Dragic was properly assessed a foul.

Butler wound up with the ball in the deep corner, and Antetokounmpo — the reigning Defensive Player of the Year — contested.

“I feel like, personally, it was the right play,” Antetokounmpo said.

Then came the whistle, and that was that. Milwaukee couldn’t challenge the call; the Bucks used their review to overturn what would have been Antetokounmpo’s fourth foul on a charging call into Butler early in the fourth quarter.

“In the judgment of the officials, the foul occurred, I guess, at some point when he landed,” Budenholzer said. “In the judgment of the officials, there was enough to warrant a foul.”

Dragic scored 23 points, Tyler Herro added 17 off the bench and Jae Crowder had 16 for Miami. Bam Adebayo scored 15 points, Butler and Duncan Robinson each had 13 and Kelly Olynyk added 11 for Miami — which is 6-0 in this postseason.

“Doesn’t take a genius to know that we were going to try to get that ball in Jimmy’s mitts and see what can happen from there,” Heat coach Erik Spoelstra said. “He was very patient. There were four seconds left. I think a lot of players would have rushed. He took his time.”

Antetokounmpo had 29 points and 14 rebounds for the Bucks. Middleton scored 23 points for Milwaukee, which got 16 apiece from Lopez and Eric Bledsoe and 14 from George Hill.

Miami’s lead was 90-86 entering the fourth — and Milwaukee had the lead back on the very first possession of the final quarter.

Middleton was fouled on a 3-point try, made the first two free throws and the rebound of the third was controlled by the Bucks. Kyle Korver made a 3-pointer off that rebound to cap a five-point possession for Milwaukee, which had the lead again for the first time since 14-13.

The Heat were undeterred. They scored 13 of the next 15 points to not only reclaim the lead but push it to 103-93 on a 3-pointer by Crowder with 7:50 left.

They wouldn’t trail again.

But on a physical night -- 71 foul shots were attempted, there were two flagrant fouls and a technical on a play where another flagrant was being considered -- the Heat stood tallest at the end.

“You can’t relax, you can’t get comfortable,” Butler said. “They’re too good of a team.”

TIP-INS

Heat: Dragic has scored at least 20 points in six consecutive playoff games. It’s the 12th such streak in Heat history; Dwyane Wade had six, LeBron James had the other five. ... Andre Iguodala left in the third quarter with a sprained right ankle, which he turned when he didn’t have space to land and came down on Korver’s foot.

Bucks: Antetokounmpo, who was 4 for 12 from the foul line in Game 1, started 4 for 5 from the stripe in Game 2. He finished 9 for 13. ... Milwaukee outrebounded Miami 50-38.

FOULING ON 3’S

The Heat fouled the Bucks five times on 3-point tries in the game, including twice against Lopez in a 26-second span of the first quarter.

5 OVER 1

Since the league went to the 16-team format in 1984, only four No. 1 seeds have dropped the first two games of a first- or second-round series. Phoenix (1993, in a best-of-five) and Boston (2017) both rallied to win first-round matchups; Toronto got swept by Cleveland in the 2018 East semifinals.

UP NEXT

Game 3 is Friday."
2017;
2018;"A public school in Brooklyn is looking to show how classes can be moved outside to more safely facilitate in-person learning.

Teachers and parents at Public School 15 in the Red Hook neighborhood took to the street outside their campus Wednesday to demonstrate one way outdoor learning could work.

From afar, the demonstration looked like a street fair or a farmer’s market. Past a crossing guard, a traffic barricade and a handwashing station, teachers held lessons with children under 10, who sat on cushions on asphalt.

“Teachers and principals and parents are modeling outdoor learning, and fighting to get more of it and soon,” said City Council Member Brad Lander, who has been polling school districts on their desire for outdoor schooling since July.

The demonstration follows a deal Tuesday between Mayor Bill de Blasio and unions representing school staff and administrators, who had been talking about a possible strike out of concern that the school system wasn’t ready to safely start the school year. In a compromise, the start of mixed in-person and online learning was delayed for several days, and city officials promised to test 10-20% of students and staff for the virus each month. If New York City schools open their classrooms to students as planned on Sept. 21, it will be the largest district to have pupils physically in school buildings during the pandemic.

Schools like P.S. 15 have completed surveys on their furniture and street permitting needs in recent days as part of a last-minute effort by the city to support outdoor learning. The city’s Department of Education is not expected to respond to the requests before school starts.

MORE ON THE PANDEMIC:
– Health officials worry nation not ready for COVID-19 vaccine
– HHS canceling ventilator contracts, says stockpile is full
– The Latest: Beijing airport receives international flights
The idea of educating students outside in Red Hook would have once raised serious safety concerns.

P.S. 15 is also known as the Patrick F. Daly School, named after a principal who was killed by a stray bullet in 1992 when the neighborhood was infested with violent drug gangs. These days it is exponentially safer, like the rest of the city.

Eighth grader Lina Rosario, of M.S. 839, is looking forward to getting out of the house and seeing her friends again.

“I was sitting at home and it was really boring,” she said of the online learning that started in March, as her mother watched the demonstration outside P.S. 15. “It got really old, really quickly.”

Naila Rosario, 39, co-president of the PTA at Lina Rosario’s school, says feels comfortable with the security measures — a guard at each end of the block — and says streetside classrooms aren’t that different from outdoor school events she’s seen at her school in previous years.

Schools across the country have decided to delay in-person schooling as late as January, citing ventilation issues or lack of space to ensure social distancing.

Supporters of outdoor schooling in Red Hook say that outdoor classrooms can happen on any street with few resources.

Full Coverage: Virus Outbreak
The tents used in the demonstration could be vulnerable to wind. The cold might make lessons impossible for a few months. But questions remain as to whether schools can sprawl into city streets while protecting students, and what, if any funding may be available for amenities like tents to protect students from the rain.

But Lander, the city council member, argues that some degree of increased outdoor space is possible and useful.

“I think even when it gets really quite cold that kids and teachers would much rather come outside and eat their lunch outdoors than stay sitting at their desks, in the same desk they’ve been sitting at in the same room, with their masks off,” Lander said.

___

Attanasio is a corps member for the Associated Press/Report for America Statehouse News Initiative. Report for America is a nonprofit national service program that places journalists in local newsrooms to report on under-covered issues. Follow Attanasio on Twitter."
2019;"Authorities are investigating a Long Island bar that posted on Instagram that it was taking bets on whether Chicago or New York City would see more shootings over Labor Day weekend.

The Cliffton, a bar in Patchogue, New York, shared photos of a paper grid hung in the bar with patrons placing bets on the number of shootings in the two cities, Newsday reported Tuesday. The winner would take home an unspecified cash prize.

The betting is “not only sickening, but also appears illegal under the Alcoholic Beverage Control law,” the State Liquor Authority said in a statement to the newspaper.

The state’s alcohol and beverage law prohibits gambling at establishments with a liquor license, with few exceptions.

The caption of the post read, “Let the shooting sprees begin!” the newspaper reported. The Cliffton’s Instagram page is private.

“These reports are repugnant and those responsible for this gambling pool should be ashamed,” Rich Azzopardi, a spokesman for Gov. Andrew Cuomo, said to the newspaper.

The Long Island bar also refused to let representatives of the State Liquor Authority conduct an inspection this week, the newspaper reported, which the agency says is itself grounds to revoke the bar’s liquor license.

Brian Neal, owner of The Cliffton, did not return a request for comment from the newspaper.

“All it does is raise the angst and anger of others,” Patchogue Mayor Paul Pontieri said. “To be buying a box to see how many people die is something I cannot fathom. It’s not who we are as a community.”

Cities across the country have seen a surge in shootings over the summer, but the spike defies easy explanation. The increase in violence likely represents a mix of factors, including record unemployment levels, the death toll from the coronavirus pandemic, stay-at-home orders, intense stress and the weather.

In April 2019, the bar’s Instagram account drew condemnation after posting a photo that outed a patron as a transgender woman and referred to her as a man, Greater Long Island reported. The bar removed the post and apologized."
2020;"The biggest boost for the Colorado Avalanche in must-win game after must-win game comes from an unlikely source — their third-string goaltender.

Michael Hutchinson stopped 27 shots and the Avalanche beat the Dallas Stars 4-1 on Wednesday night to force a decisive Game 7 in their second-round playoff series.

The 30-year-old Hutchinson was back in net with starter Philipp Grubauer and backup Pavel Francouz both sidelined. It was just Hutchinson’s second career NHL playoff start — and second win. He stymied the Stars all night after allowing an early goal.

“He’s an easy guy to cheer for,” Avalanche coach Jared Bednar. “For him to to be able to step in and do what he’s done for us the last couple games is nothing short of amazing. He deserves all the credit.”

Rookie defenseman Cale Makar scored the go-ahead goal in the second period, while Nikita Zadorov and Mikko Rantanen also added goals. Nathan MacKinnon scored an empty-netter for the Avalanche, who staved off elimination for a second straight game to tie the series at three wins apiece. Colorado has never won a postseason series when trailing 3-1.

Game 7 is Friday.

“Our mindset’s changed,” Makar said. “Obviously, we’re on the ropes and we have a team that’s going to fight to the end here. The next one is a big one for us. It’s going to be a fun one.”

Miro Heiskanen scored for the Stars, while Anton Khudobin made 20 saves.

Both teams lost in Game 7 last season in the second round. Colorado is attempting to advance to the Western Conference finals for the first time since 2002. The Stars last went in 2008.

“We never thought it was going to be a sweep or an easy series,” Stars forward Tyler Seguin said. “We always said it can go Game 6 or 7, and it’s 7, so here we are.”

This marked the first time in the high-scoring series the winning team didn’t net at least five goals.

Colorado increased its lead to 3-1 on a goal by Rantanen that was set up on a flip pass from MacKinnon with 16:39 remaining.

It was well protected by Hutchinson, who was acquired in a February trade with Toronto and locked things down.

“He calms things down for us,” MacKinnon said. “Galvanizes the team, for sure. We feel very confident when our goalie is playing like that.”

The Stars are looking for ways to disrupt Hutchinson’s rhythm.

“Give Colorado a lot of credit,” Stars interim coach Rick Bowness said. “They’re doing a great job protecting him.”

MacKinnon’s goal and assist give him at least a point in all 14 games this postseason. He’s the first player to notch 25 postseason points (nine goals, 16 assists) in 14 or less games since Wayne Gretzky with Los Angeles in 1993 (eight goals, 17 assists in 14 games).

What stood out to MacKinnon, though, was the defensive effort. The Avalanche only took one penalty.

“We were one of the best defensive teams in the regular season. People don’t really realize that,” MacKinnon said. “We really take pride in that.”

Makar put Colorado up 2-1 midway through the second period by dropping down from the blue line, taking a pass from Rantanen and sailing the puck past Khudobin. Makar’s 15 points this postseason are the most by a rookie defenseman in Stanley Cup playoffs history. Right on his heels, though, is Quinn Hughes, who has 14 points for Vancouver.

A banged-up Colorado squad saw captain Gabriel Landeskog limp off the ice after taking a skate to his right leg late in the second period. He briefly returned in the third, but his status for Game 7 is uncertain.

The Avalanche also had Conor Timmins leave the game.

Heiskanen scored the game’s first goal late in the opening period when his shot glanced off the glove of Hutchinson and into the net. The 21-year-old Heiskanen leads all defensemen with 19 points (five goals, 14 assists) during the postseason.

Dallas’ advantage lasted less than two minutes as Colorado tied it up on Zadorov’s goal. Just before the shot, Jamie Oleksiak pushed J.T. Compher into Khudobin, who never got a good look at the puck.

The Stars weathered what could’ve been disaster in spending six minutes inside the penalty box. Blake Comeau drew a four-minute, double-minor after catching Pierre-Edouard Bellemare in the head with a high stick. Oleksiak also drew a penalty for holding.

On to Game 7.

“We put ourselves in this position,” Bowness said. “Hey, we’re in Game 7. Deal with it. Just got to make it a harder night for that whole team over there.”

___

NOTES: Stars goaltender Ben Bishop and defenseman Stephen Johns were unfit to play. ... Colorado was once again without forwards Joonas Donskoi and Matt Calvert, and defenseman Erik Johnson due to unspecified injuries. ... Colorado struggled on the power play, going 0 for 5.
"
